School,YrLevel,Domain,ACARA ID,School Name,Family Name,Given Name,Student PSI,SRN,Year Level,Test Level,Test Domain,Domain Band,Raw Score,Scaled Score,Parallel Path,Participation
21221,9,Spelling,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,491169629,9,9,Spelling,8,15.00,595.00,SA1:SB1:PB0,P
21221,9,Writing,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,491169629,9,9,Writing,,,,,E
21221,9,GrammarAndPunctuation,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,491169629,9,9,Grammar and Punctuation,8,14.00,589.00,F1,P
21221,9,Reading,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,491169629,9,9,Reading,8,35.00,614.38,A3:D0:F0,P
21221,9,Numeracy,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,491169629,9,9,Numeracy,8,42.00,603.44,CA1:D1:C0:E1,P
21215,5,Spelling,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,853010112,5,5,Spelling,7,19.00,539.00,SA1:SD0:PB1,P
21215,5,Writing,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,853010112,5,5,Writing,8,1.00,575.00,,P
21215,5,GrammarAndPunctuation,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,853010112,5,5,Grammar and Punctuation,7,19.00,539.00,F1,P
21215,5,Reading,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,853010112,5,5,Reading,6,33.00,535.00,A1:D1:F0,P
21215,5,Numeracy,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,853010112,5,5,Numeracy,6,30.00,525.00,A2:B0:C0,P
21213,5,Spelling,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,819020519,5,5,Spelling,6,16.00,521.00,SA0:SB0:PB1,P
21213,5,Writing,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,819020519,5,5,Writing,8,1.00,575.00,,P
21213,5,GrammarAndPunctuation,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,819020519,5,5,Grammar and Punctuation,6,17.00,527.00,F1,P
21213,5,Reading,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,819020519,5,5,Reading,,,,A1:D1:F0,S
21213,5,Numeracy,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,819020519,5,5,Numeracy,6,25.00,508.33,NC1:D0:C0,P
21214,3,GrammarAndPunctuation,21214,Iliac Primary College,Alvarado,Joanna,R100000053G,675659121,3,3,Grammar and Punctuation,5,16.00,411.00,E1,P
21214,3,Reading,21214,Iliac Primary College,Alvarado,Joanna,R100000053G,675659121,3,3,Reading,0,0.0,0.0,A2:B1:E1,R
21214,3,Numeracy,21214,Iliac Primary College,Alvarado,Joanna,R100000053G,675659121,3,3,Numeracy,,,,,A
21214,3,Spelling,21214,Iliac Primary College,Alvarado,Joanna,R100000053G,675659121,3,3,Spelling,0,0.0,0.0,SA1:SD1:PD0,R
21221,9,Spelling,21221,Wishram Combined College,Pavone,Laurene,R100000228H,556791652,9,9,Spelling,9,19.00,619.00,SA0:SD1:PB1,P
21221,9,Writing,21221,Wishram Combined College,Pavone,Laurene,R100000228H,556791652,9,9,Writing,10,1.00,655.00,,P
21221,9,GrammarAndPunctuation,21221,Wishram Combined College,Pavone,Laurene,R100000228H,556791652,9,9,Grammar and Punctuation,8,16.00,601.00,F0,P
21221,9,Reading,21221,Wishram Combined College,Pavone,Laurene,R100000228H,556791652,9,9,Reading,0,0.0,0.0,A3:B0:F0,R
21221,9,Numeracy,21221,Wishram Combined College,Pavone,Laurene,R100000228H,556791652,9,9,Numeracy,8,44.00,608.12,CA0:D1:C0:E0,P
21220,7,Numeracy,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,631734365,7,7,Numeracy,7,36.00,559.38,NC1:B0:C0:F0,P
21220,7,Writing,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,631734365,7,7,Writing,9,1.00,625.00,,P
21220,7,Spelling,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,631734365,7,7,Spelling,,,,,A
21220,7,Reading,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,631734365,7,7,Reading,7,33.00,578.12,A1:D0:E1,P
21220,7,GrammarAndPunctuation,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,631734365,7,7,Grammar and Punctuation,8,24.00,619.00,E1,P
21217,5,Spelling,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,755299767,5,5,Spelling,6,17.00,527.00,SA1:SB0:PB0,P
21217,5,Writing,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,755299767,5,5,Writing,8,1.00,575.00,,P
21217,5,GrammarAndPunctuation,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,755299767,5,5,Grammar and Punctuation,7,20.00,545.00,E1,P
21217,5,Reading,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,755299767,5,5,Reading,6,32.00,531.67,A0:B1:E1,P
21217,5,Numeracy,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,755299767,5,5,Numeracy,0,0.0,0.0,A0:B1:C0,R
21215,3,GrammarAndPunctuation,21215,Isovalerate Combined College,Lachance,Britney,R100000096E,674310219,3,3,Grammar and Punctuation,5,17.00,417.00,E1,P
21215,3,Reading,21215,Isovalerate Combined College,Lachance,Britney,R100000096E,674310219,3,3,Reading,6,34.00,445.77,A1:B1:E0,P
21215,3,Numeracy,21215,Isovalerate Combined College,Lachance,Britney,R100000096E,674310219,3,3,Numeracy,5,28.00,422.69,CA0:B1:F0,P
21215,3,Spelling,21215,Isovalerate Combined College,Lachance,Britney,R100000096E,674310219,3,3,Spelling,6,21.00,441.00,SA1:SB1:PB1,P
21215,9,Spelling,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,396082924,9,9,Spelling,8,18.00,613.00,SA1:SB1:PD1,P
21215,9,Writing,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,396082924,9,9,Writing,6,0.00,505.00,,P
21215,9,GrammarAndPunctuation,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,396082924,9,9,Grammar and Punctuation,9,20.00,625.00,F0,P
21215,9,Reading,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,396082924,9,9,Reading,8,31.00,601.88,A2:D1:F0,P
21215,9,Numeracy,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,396082924,9,9,Numeracy,8,45.00,610.47,CA0:B0:C0:F0,P
21221,9,Spelling,21221,Wishram Combined College,Allen,Simone,R100000233H,203867073,9,9,Spelling,8,15.00,595.00,SA0:SD0:PD1,P
21221,9,Writing,21221,Wishram Combined College,Allen,Simone,R100000233H,203867073,9,9,Writing,10,1.00,655.00,,P
21221,9,GrammarAndPunctuation,21221,Wishram Combined College,Allen,Simone,R100000233H,203867073,9,9,Grammar and Punctuation,8,17.00,607.00,E1,P
21221,9,Reading,21221,Wishram Combined College,Allen,Simone,R100000233H,203867073,9,9,Reading,8,31.00,601.88,A0:D0:E1,P
21221,9,Numeracy,21221,Wishram Combined College,Allen,Simone,R100000233H,203867073,9,9,Numeracy,8,43.00,605.78,NC0:B0:C0:F0,P
21215,9,Spelling,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,885381996,9,9,Spelling,9,21.00,631.00,SA0:SB1:PD1,P
21215,9,Writing,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,885381996,9,9,Writing,10,1.00,655.00,,P
21215,9,GrammarAndPunctuation,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,885381996,9,9,Grammar and Punctuation,8,17.00,607.00,F1,P
21215,9,Reading,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,885381996,9,9,Reading,8,30.00,598.75,A0:D1:F0,P
21215,9,Numeracy,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,885381996,9,9,Numeracy,8,45.00,610.47,CA1:D0:C0:E1,P
21221,5,Spelling,21221,Wishram Combined College,Upham,Teodoro,R100000231M,271624309,5,5,Spelling,6,13.00,503.00,SA0:SD1:PB1,P
21221,5,Writing,21221,Wishram Combined College,Upham,Teodoro,R100000231M,271624309,5,5,Writing,8,1.00,575.00,,P
21221,5,GrammarAndPunctuation,21221,Wishram Combined College,Upham,Teodoro,R100000231M,271624309,5,5,Grammar and Punctuation,0,0.00,0.00,G0,P
21221,5,Reading,21221,Wishram Combined College,Upham,Teodoro,R100000231M,271624309,5,5,Reading,,,,,W
21221,5,Numeracy,21221,Wishram Combined College,Upham,Teodoro,R100000231M,271624309,5,5,Numeracy,6,32.00,531.67,CA0:B0:E0,P
21220,9,Spelling,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,634017946,9,9,Spelling,8,17.00,607.00,SA1:SD1:PB1,P
21220,9,Writing,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,634017946,9,9,Writing,6,0.00,505.00,,P
21220,9,GrammarAndPunctuation,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,634017946,9,9,Grammar and Punctuation,8,15.00,595.00,F1,P
21220,9,Reading,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,634017946,9,9,Reading,9,37.00,620.62,A2:B0:F0,P
21220,9,Numeracy,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,634017946,9,9,Numeracy,8,43.00,605.78,CA1:B0:C0:E1,P
21214,5,Spelling,21214,Iliac Primary College,Soto,Valentina,R100000051A,680948416,5,5,Spelling,6,17.00,527.00,SA1:SB0:PB0,P
21214,5,Writing,21214,Iliac Primary College,Soto,Valentina,R100000051A,680948416,5,5,Writing,8,1.00,575.00,,P
21214,5,GrammarAndPunctuation,21214,Iliac Primary College,Soto,Valentina,R100000051A,680948416,5,5,Grammar and Punctuation,6,17.00,527.00,E1,P
21214,5,Reading,21214,Iliac Primary College,Soto,Valentina,R100000051A,680948416,5,5,Reading,6,32.00,531.67,A0:D1:E1,P
21214,5,Numeracy,21214,Iliac Primary College,Soto,Valentina,R100000051A,680948416,5,5,Numeracy,7,36.00,545.00,A3:D1:C0,P
21212,3,GrammarAndPunctuation,21212,Anticapital Primary College,Woodside,June,R100000021D,396107093,3,3,Grammar and Punctuation,,,,,E
21212,3,Reading,21212,Anticapital Primary College,Woodside,June,R100000021D,396107093,3,3,Reading,6,30.00,430.38,A0:B0:F0,P
21212,3,Numeracy,21212,Anticapital Primary College,Woodside,June,R100000021D,396107093,3,3,Numeracy,5,29.00,426.54,A3:B1:F0,P
21212,3,Spelling,21212,Anticapital Primary College,Woodside,June,R100000021D,396107093,3,3,Spelling,6,19.00,429.00,SA0:SB1:PB1,P
21221,9,Spelling,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,900848255,9,9,Spelling,,,,,E
21221,9,Writing,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,900848255,9,9,Writing,6,0.00,505.00,,P
21221,9,GrammarAndPunctuation,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,900848255,9,9,Grammar and Punctuation,8,15.00,595.00,C1,P
21221,9,Reading,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,900848255,9,9,Reading,8,31.00,601.88,A0:D1:C0,P
21221,9,Numeracy,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,900848255,9,9,Numeracy,,,,,X
21217,5,Spelling,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,266211914,5,5,Spelling,6,17.00,527.00,SA1:SB1:PB1,P
21217,5,Writing,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,266211914,5,5,Writing,8,1.00,575.00,,P
21217,5,GrammarAndPunctuation,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,266211914,5,5,Grammar and Punctuation,0,0.00,0.00,G0,P
21217,5,Reading,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,266211914,5,5,Reading,,,,,A
21217,5,Numeracy,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,266211914,5,5,Numeracy,,,,,E
21218,9,Spelling,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,574013097,9,9,Spelling,9,21.00,631.00,SA0:SB0:PB0,P
21218,9,Writing,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,574013097,9,9,Writing,6,0.00,505.00,,P
21218,9,GrammarAndPunctuation,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,574013097,9,9,Grammar and Punctuation,,,,,C
21218,9,Reading,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,574013097,9,9,Reading,9,37.00,620.62,A1:B1:C0,P
