School,YrLevel,Domain,ACARA ID,School Name,Family Name,Given Name,Student PSI,Test Level,Test Domain,Parallel Path,Participation,Date,Start Time
21221,9,Spelling,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,9,Spelling,SA1:SB1:PB0,P,,
21221,9,Writing,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,9,Writing,,E,,
21221,9,GrammarAndPunctuation,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,9,Grammar and Punctuation,F1,P,,
21221,9,Reading,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,9,Reading,A3:D0:F0,P,,
21221,9,Numeracy,21221,Wishram Combined College,Lamb,Evelyn,R100000235R,9,Numeracy,CA1:D1:C0:E1,P,,
21215,5,Spelling,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,5,Spelling,SA1:SD0:PB1,P,,
21215,5,Writing,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,5,Writing,,P,,
21215,5,GrammarAndPunctuation,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,5,Grammar and Punctuation,F1,P,,
21215,5,Reading,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,5,Reading,A1:D1:F0,P,,
21215,5,Numeracy,21215,Isovalerate Combined College,Allen,Georgia,R100000098S,5,Numeracy,A2:B0:C0,P,,
21213,5,Spelling,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,5,Spelling,SA0:SB0:PB1,P,,
21213,5,Writing,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,5,Writing,,P,,
21213,5,GrammarAndPunctuation,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,5,Grammar and Punctuation,F1,P,,
21213,5,Reading,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,5,Reading,A1:D1:F0,S,,
21213,5,Numeracy,21213,Hippocentaur Primary College,Williams,Janet,R100000042R,5,Numeracy,NC1:D0:C0,P,,
21214,3,GrammarAndPunctuation,21214,Iliac Primary College,Alvarado,Joanna,R100000053G,3,Grammar and Punctuation,E1,P,,
21214,3,Reading,21214,Iliac Primary College,Alvarado,Joanna,R100000053G,3,Reading,A2:B1:E1,R,,
21214,3,Numeracy,21214,Iliac Primary College,Alvarado,Joanna,R100000053G,3,Numeracy,,A,,
21214,3,Spelling,21214,Iliac Primary College,Alvarado,Joanna,R100000053G,3,Spelling,SA1:SD1:PD0,R,,
21221,9,Spelling,21221,Wishram Combined College,Pavone,Laurene,R100000228H,9,Spelling,SA0:SD1:PB1,P,,
21221,9,Writing,21221,Wishram Combined College,Pavone,Laurene,R100000228H,9,Writing,,P,,
21221,9,GrammarAndPunctuation,21221,Wishram Combined College,Pavone,Laurene,R100000228H,9,Grammar and Punctuation,F0,P,,
21221,9,Reading,21221,Wishram Combined College,Pavone,Laurene,R100000228H,9,Reading,A3:B0:F0,R,,
21221,9,Numeracy,21221,Wishram Combined College,Pavone,Laurene,R100000228H,9,Numeracy,CA0:D1:C0:E0,P,,
21220,7,Numeracy,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,7,Numeracy,NC1:B0:C0:F0,P,,
21220,7,Writing,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,7,Writing,,P,,
21220,7,Spelling,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,7,Spelling,,A,,
21220,7,Reading,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,7,Reading,A1:D0:E1,P,,
21220,7,GrammarAndPunctuation,21220,Unturpentined Secondary College,Newby,Mildred,R100000203K,7,Grammar and Punctuation,E1,P,,
21217,5,Spelling,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,5,Spelling,SA1:SB0:PB0,P,,
21217,5,Writing,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,5,Writing,,P,,
21217,5,GrammarAndPunctuation,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,5,Grammar and Punctuation,E1,P,,
21217,5,Reading,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,5,Reading,A0:B1:E1,P,,
21217,5,Numeracy,21217,Phyllostoma Combined College,Winningham,Jacquelin,R100000135S,5,Numeracy,A0:B1:C0,R,,
21215,3,GrammarAndPunctuation,21215,Isovalerate Combined College,Lachance,Britney,R100000096E,3,Grammar and Punctuation,E1,P,,
21215,3,Reading,21215,Isovalerate Combined College,Lachance,Britney,R100000096E,3,Reading,A1:B1:E0,P,,
21215,3,Numeracy,21215,Isovalerate Combined College,Lachance,Britney,R100000096E,3,Numeracy,CA0:B1:F0,P,,
21215,3,Spelling,21215,Isovalerate Combined College,Lachance,Britney,R100000096E,3,Spelling,SA1:SB1:PB1,P,,
21215,9,Spelling,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,9,Spelling,SA1:SB1:PD1,P,,
21215,9,Writing,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,9,Writing,,P,,
21215,9,GrammarAndPunctuation,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,9,Grammar and Punctuation,F0,P,,
21215,9,Reading,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,9,Reading,A2:D1:F0,P,,
21215,9,Numeracy,21215,Isovalerate Combined College,Dearing,Tessie,R100000081K,9,Numeracy,CA0:B0:C0:F0,P,,
21221,9,Spelling,21221,Wishram Combined College,Allen,Simone,R100000233H,9,Spelling,SA0:SD0:PD1,P,,
21221,9,Writing,21221,Wishram Combined College,Allen,Simone,R100000233H,9,Writing,,P,,
21221,9,GrammarAndPunctuation,21221,Wishram Combined College,Allen,Simone,R100000233H,9,Grammar and Punctuation,E1,P,,
21221,9,Reading,21221,Wishram Combined College,Allen,Simone,R100000233H,9,Reading,A0:D0:E1,P,,
21221,9,Numeracy,21221,Wishram Combined College,Allen,Simone,R100000233H,9,Numeracy,NC0:B0:C0:F0,P,,
21215,9,Spelling,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,9,Spelling,SA0:SB1:PD1,P,,
21215,9,Writing,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,9,Writing,,P,,
21215,9,GrammarAndPunctuation,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,9,Grammar and Punctuation,F1,P,,
21215,9,Reading,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,9,Reading,A0:D1:F0,P,,
21215,9,Numeracy,21215,Isovalerate Combined College,Costello,Jeanette,R100000088P,9,Numeracy,CA1:D0:C0:E1,P,,
21221,5,Spelling,21221,Wishram Combined College,Upham,Teodoro,R100000231M,5,Spelling,SA0:SD1:PB1,P,,
21221,5,Writing,21221,Wishram Combined College,Upham,Teodoro,R100000231M,5,Writing,,P,,
21221,5,GrammarAndPunctuation,21221,Wishram Combined College,Upham,Teodoro,R100000231M,5,Grammar and Punctuation,G0,P,,
21221,5,Reading,21221,Wishram Combined College,Upham,Teodoro,R100000231M,5,Reading,,W,,
21221,5,Numeracy,21221,Wishram Combined College,Upham,Teodoro,R100000231M,5,Numeracy,CA0:B0:E0,P,,
21220,9,Spelling,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,9,Spelling,SA1:SD1:PB1,P,,
21220,9,Writing,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,9,Writing,,P,,
21220,9,GrammarAndPunctuation,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,9,Grammar and Punctuation,F1,P,,
21220,9,Reading,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,9,Reading,A2:B0:F0,P,,
21220,9,Numeracy,21220,Unturpentined Secondary College,Long,Agustin,R100000222K,9,Numeracy,CA1:B0:C0:E1,P,,
