School,YrLevel,Domain,EDID,First Name,Last Name,Date of Birth,Year Level,Sex,Indigenous Status,LBOTE Status,Parent 1 School Education,Parent 1 Non-School Education,Parent 1 Occupation,Parent 2 School Education,Parent 2 Non-School Education,Parent 2 Occupation,Student LOTE,Parent 1 LOTE,Parent 2 LOTE,Country of Birth,Local School Student ID,Diocesan Student ID,TAA Student ID,Platform Student ID,Previous Local School Student ID,Previous Diocesan Student ID,Previous TAA Student ID,Previous Platform Student ID,ClassGroup,Education Support,Full Fee Paying Student,Visa Code,Home Schooled Student,Sensitive,Address Line 1,Address Line 2,Locality,Postcode,State,School Code,School Name,R_Score,W_Score,S_Score,G_Score,N_Score,R_Comment,W_Comment,S_Comment,G_Comment,N_Comment,R_Mean,W_Mean,S_Mean,G_Mean,N_Mean,R_Participation,W_Participation,S_Participation,G_Participation,N_Participation,R_Pathway,W_Pathway,S_Pathway,G_Pathway,N_Pathway,R_Stddev,W_Stddev,S_Stddev,G_Stddev,N_Stddev,R_DomainBand,W_DomainBand,S_DomainBand,G_DomainBand,N_DomainBand
21221,9,AllDomains,491169629,Evelyn,Lamb,2009-08-08,9,2,4,1201,4,7,3,2,8,4,1201,1201,1201,1101,491169629,,491169629,R100000235R,,,,,9D,N,2,,N,N,,,,,,21221,Wishram Combined College,614.38,,595.00,589.00,603.44,,,,,,708,705,680,634,775,P,E,P,P,P,A:D:F,,SA:SB:PB,GF,CA:D:C:E,21.26,,18.31,18.16,19.04,8,,8,8,8
21215,5,AllDomains,853010112,Georgia,Allen,2009-05-17,5,2,2,1201,1,5,3,4,5,2,1201,1201,1201,1101,853010112,,853010112,R100000098S,,,,,5A,N,2,,N,N,,,,,,21215,Isovalerate Combined College,535.00,575.00,539.00,539.00,525.00,,,,,,574,522,586,650,682,P,P,P,P,P,A:D:F,,SA:SD:PB,GF,A:B:C,19.46,22.04,19.80,20.97,19.12,6,8,7,7,6
21213,5,AllDomains,819020519,Janet,Williams,2009-03-23,5,2,4,5203,4,5,2,4,5,4,5203,1201,9601,1101,819020519,,819020519,R100000042R,,,,,5B,N,1,,N,N,,,,,,21213,Hippocentaur Primary College,,575.00,521.00,527.00,508.33,,,,,,645,646,695,586,547,S,P,P,P,P,A:D:F,,SA:SB:PB,GF,NC:D:C,,22.92,21.85,21.03,20.58,,8,6,6,6
21214,3,AllDomains,675659121,Joanna,Alvarado,2009-06-11,3,2,1,1201,2,6,1,4,8,4,1201,2201,1201,1101,675659121,,675659121,R100000053G,,,,,3A,N,2,,N,N,,,,,,21214,Iliac Primary College,0.0,,0.0,411.00,,,,,,,517,,551,433,559,R,,R,P,A,A:B:E,,SA:SD:PD,GE,,0.0,,0.0,22.63,,0,,0,5,
21221,9,AllDomains,556791652,Laurene,Pavone,2009-03-07,9,2,3,1201,2,5,3,4,5,1,1201,1201,1201,6101,556791652,,556791652,R100000228H,,,,,9C,N,2,,N,N,,,,,,21221,Wishram Combined College,0.0,655.00,619.00,601.00,608.12,,,,,,708,710,680,634,775,R,P,P,P,P,A:B:F,,SA:SD:PB,GF,CA:D:C:E,0.0,20.13,22.77,21.56,19.21,0,10,9,8,8
21220,7,AllDomains,631734365,Mildred,Newby,2009-10-05,7,2,2,1201,1,8,2,2,6,3,1201,1201,1201,2100,631734365,,631734365,R100000203K,,,,,7F,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,578.12,625.00,,619.00,559.38,,,,,,620,660,638,695,713,P,P,A,P,P,A:D:E,,,GE,NC:B:C:F,19.32,22.86,,19.97,22.73,7,9,,8,7
21217,5,AllDomains,755299767,Jacquelin,Winningham,2009-11-02,5,2,3,1201,3,7,4,1,6,3,1201,1201,1201,1101,755299767,,755299767,R100000135S,,,,,5B,N,1,,N,N,,,,,,21217,Phyllostoma Combined College,531.67,575.00,527.00,545.00,0.0,,,,,,528,519,518,519,606,P,P,P,P,R,A:B:E,,SA:SB:PB,GE,A:B:C,21.05,20.24,19.20,21.79,0.0,6,8,6,7,0
21215,3,AllDomains,674310219,Britney,Lachance,2009-10-05,3,2,3,1201,4,6,1,2,6,3,1201,1201,1201,1101,674310219,,674310219,R100000096E,,,,,3A,N,1,,N,N,,,,,,21215,Isovalerate Combined College,445.77,,441.00,417.00,422.69,,,,,,424,,498,515,410,P,,P,P,P,A:B:E,,SA:SB:PB,GE,CA:B:F,22.63,,22.36,19.80,18.23,6,,6,5,5
21215,9,AllDomains,396082924,Tessie,Dearing,2009-11-04,9,2,4,1201,2,7,2,3,6,1,1201,1201,5203,1101,396082924,,396082924,R100000081K,,,,,9D,N,2,,N,N,,,,,,21215,Isovalerate Combined College,601.88,505.00,613.00,625.00,610.47,,,,,,649,723,618,745,596,P,P,P,P,P,A:D:F,,SA:SB:PD,GF,CA:B:C:F,21.85,21.23,21.59,19.87,20.73,8,6,8,9,8
21221,9,AllDomains,203867073,Simone,Allen,2009-03-21,9,2,3,1201,4,7,4,4,8,1,1201,1201,1201,1101,203867073,,203867073,R100000233H,,,,,9C,N,1,,N,N,,,,,,21221,Wishram Combined College,601.88,655.00,595.00,607.00,605.78,,,,,,708,710,680,634,775,P,P,P,P,P,A:D:E,,SA:SD:PD,GE,NC:B:C:F,22.78,18.02,18.63,20.00,19.82,8,10,8,8,8
