School,YrLevel,Domain,TAA (Jurisdiction Id),Sector,School Local Id,Local Campus Id,ACARA ID,School Name,SRN,Platform Student ID,Family Name,Middle Name,Given Name,Geolocation,Test Level,Sex,Birth Date,Country of Birth,Student Language at Home,Indigenous Status,Parent 1 Occupation,Parent 1 School education,Parent 1 Non-School Education,Parent 1 Language at Home,Parent 2 Occupation,Parent 2 School education,Parent 2 Non-School Education,Parent 2 Language at Home,LBOTE,Full Fee Paying Student,Reading Participation Code,Reading ResponseID,Reading PNP:AIA,Reading PNP:AIV,Reading PNP:AST,Reading PNP:BNB,Reading PNP:BNG,Reading PNP:BNL,Reading PNP:BNW,Reading PNP:BNY,Reading PNP:COL,Reading PNP:ETA,Reading PNP:ETB,Reading PNP:ETC,Reading PNP:ETD,Reading PNP:OFF,Reading PNP:OSS,Reading PNP:RBK,Reading PNP:SCR,Reading PNP:SUP,Reading PNP:CAL,Reading PNP:ENZ,Reading PNP:EST,Reading PNP:LFS,Reading PNP:RZL,Reading PNP:ZOF,Reading PNP:ZTFAO,Reading Domain Band,Reading Raw Score,Reading Scaled Score Value,Reading National Average,Reading Path Taken For Domain,Reading Parallel Test,Numeracy Participation Code,Numeracy ResponseID,Numeracy PNP:AIA,Numeracy PNP:AIV,Numeracy PNP:AST,Numeracy PNP:BNB,Numeracy PNP:BNG,Numeracy PNP:BNL,Numeracy PNP:BNW,Numeracy PNP:BNY,Numeracy PNP:COL,Numeracy PNP:ETA,Numeracy PNP:ETB,Numeracy PNP:ETC,Numeracy PNP:ETD,Numeracy PNP:OFF,Numeracy PNP:OSS,Numeracy PNP:RBK,Numeracy PNP:SCR,Numeracy PNP:SUP,Numeracy PNP:CAL,Numeracy PNP:ENZ,Numeracy PNP:EST,Numeracy PNP:LFS,Numeracy PNP:RZL,Numeracy PNP:ZOF,Numeracy PNP:ZTFAO,Numeracy Domain Band,Numeracy Raw Score,Numeracy Scaled Score Value,Numeracy National Average,Numeracy Path Taken For Domain,Numeracy Parallel Test,Writing Participation Code,Writing ResponseID,Writing PNP:AIA,Writing PNP:AIV,Writing PNP:AST,Writing PNP:BNB,Writing PNP:BNG,Writing PNP:BNL,Writing PNP:BNW,Writing PNP:BNY,Writing PNP:COL,Writing PNP:ETA,Writing PNP:ETB,Writing PNP:ETC,Writing PNP:ETD,Writing PNP:OFF,Writing PNP:OSS,Writing PNP:RBK,Writing PNP:SCR,Writing PNP:SUP,Writing PNP:CAL,Writing PNP:ENZ,Writing PNP:EST,Writing PNP:LFS,Writing PNP:RZL,Writing PNP:ZOF,Writing PNP:ZTFAO,Writing Domain Band,Writing Raw Score,Writing Scaled Score Value,Writing National Average,Writing Path Taken For Domain,Writing Parallel Test,Grammar and Punctuation Participation Code,Grammar and Punctuation ResponseID,GrammarAndPunctuation PNP:AIA,GrammarAndPunctuation PNP:AIV,GrammarAndPunctuation PNP:AST,GrammarAndPunctuation PNP:BNB,GrammarAndPunctuation PNP:BNG,GrammarAndPunctuation PNP:BNL,GrammarAndPunctuation PNP:BNW,GrammarAndPunctuation PNP:BNY,GrammarAndPunctuation PNP:COL,GrammarAndPunctuation PNP:ETA,GrammarAndPunctuation PNP:ETB,GrammarAndPunctuation PNP:ETC,GrammarAndPunctuation PNP:ETD,GrammarAndPunctuation PNP:OFF,GrammarAndPunctuation PNP:OSS,GrammarAndPunctuation PNP:RBK,GrammarAndPunctuation PNP:SCR,GrammarAndPunctuation PNP:SUP,GrammarAndPunctuation PNP:CAL,GrammarAndPunctuation PNP:ENZ,GrammarAndPunctuation PNP:EST,GrammarAndPunctuation PNP:LFS,GrammarAndPunctuation PNP:RZL,GrammarAndPunctuation PNP:ZOF,GrammarAndPunctuation PNP:ZTFAO,Grammar and Punctuation Domain Band,Grammar and Punctuation Raw Score,Grammar and Punctuation Scaled Score Value,Grammar and Punctuation National Average,Grammar and Punctuation Path Taken For Domain,Grammar and Punctuation Parallel Test,Spelling Participation Code,Spelling ResponseID,Spelling PNP:AIA,Spelling PNP:AIV,Spelling PNP:AST,Spelling PNP:BNB,Spelling PNP:BNG,Spelling PNP:BNL,Spelling PNP:BNW,Spelling PNP:BNY,Spelling PNP:COL,Spelling PNP:ETA,Spelling PNP:ETB,Spelling PNP:ETC,Spelling PNP:ETD,Spelling PNP:OFF,Spelling PNP:OSS,Spelling PNP:RBK,Spelling PNP:SCR,Spelling PNP:SUP,Spelling PNP:CAL,Spelling PNP:ENZ,Spelling PNP:EST,Spelling PNP:LFS,Spelling PNP:RZL,Spelling PNP:ZOF,Spelling PNP:ZTFAO,Spelling Domain Band,Spelling Raw Score,Spelling Scaled Score Value,Spelling National Average,Spelling Path Taken For Domain,Spelling Parallel Test
21221,9,AllDomains,9,NG,x72869,,21221,Wishram Combined College,491169629,R100000235R,Lamb,,Evelyn,15,9,2,2009-08-08,1101,1201,4,3,4,7,1201,4,2,8,1201,1201,2,P,d0744ed1-1c95-4449-965b-24f523e64184,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,8,35.00,614.38,708,A:D:F,A3:D0:F0,P,5acc909e-e05a-4c16-849b-d18926a2128e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,42.00,603.44,775,CA:D:C:E,CA1:D1:C0:E1,E,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,705,,,P,80d34524-e368-403c-8513-05ca591cd915,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,14.00,589.00,634,GF,F1,P,1ddefae8-de40-467e-826d-c6a4d56498e0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,15.00,595.00,680,SA:SB:PB,SA1:SB1:PB0
21215,5,AllDomains,9,NG,x72863,,21215,Isovalerate Combined College,853010112,R100000098S,Allen,,Georgia,15,5,2,2009-05-17,1101,1201,2,3,1,5,1201,2,4,5,1201,1201,2,P,8c7365eb-f104-452b-b801-524a07dfbda4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,33.00,535.00,574,A:D:F,A1:D1:F0,P,b5781b72-bec6-43ed-9fcf-aeb0312c59f5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,30.00,525.00,682,A:B:C,A2:B0:C0,P,e1372286-e02a-4960-bd16-8a7b17181ed3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,1.00,575.00,522,,,P,84056530-6a2c-4abb-af72-17778e2076be,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,19.00,539.00,650,GF,F1,P,213a52f7-8a75-4669-b092-25f101669711,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,19.00,539.00,586,SA:SD:PB,SA1:SD0:PB1
21213,5,AllDomains,9,NG,x72861,,21213,Hippocentaur Primary College,819020519,R100000042R,Williams,,Janet,15,5,2,2009-03-23,1101,5203,4,2,4,5,1201,4,4,5,9601,5203,1,S,f094daff-83b3-4b9e-b3b3-481c42e066ea,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,645,A:D:F,A1:D1:F0,P,47348b61-e5ac-45a4-ac64-c48ec3bc22ab,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,25.00,508.33,547,NC:D:C,NC1:D0:C0,P,ac3a3585-9cd6-4e03-a24e-58ae323783b4,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,1.00,575.00,646,,,P,fabba012-21f7-47b4-a6c8-9073562418f6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,17.00,527.00,586,GF,F1,P,c62fb5ee-f3b0-490a-9de8-c59718cb5ff9,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,16.00,521.00,695,SA:SB:PB,SA0:SB0:PB1
21214,3,AllDomains,9,NG,x72862,,21214,Iliac Primary College,675659121,R100000053G,Alvarado,,Joanna,15,3,2,2009-06-11,1101,1201,1,1,2,6,2201,4,4,8,1201,1201,2,R,3a660298-2756-467e-98ac-b16ecd3fa0af,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0.0,0.0,517,A:B:E,A2:B1:E1,A,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,7a0f9af2-5760-4bdd-924b-3a6cd2d39af0,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,5,16.00,411.00,433,GE,E1,R,befc97e2-2fdb-4b49-8426-d995fed78a4f,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0.0,0.0,551,SA:SD:PD,SA1:SD1:PD0
21221,9,AllDomains,9,NG,x72869,,21221,Wishram Combined College,556791652,R100000228H,Pavone,,Laurene,15,9,2,2009-03-07,6101,1201,3,3,2,5,1201,1,4,5,1201,1201,2,R,0351b41b-c0d6-4120-af66-37d1d78590c9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0.0,0.0,708,A:B:F,A3:B0:F0,P,52aa5b39-ef11-4f48-ae52-ee0159a80664,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,44.00,608.12,775,CA:D:C:E,CA0:D1:C0:E0,P,67486da4-05a0-4363-962d-9f0eae21bdb3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,1.00,655.00,710,,,P,e376b121-e6a2-46f8-b66e-b33f8506788d,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,16.00,601.00,634,GF,F0,P,e432f66e-71cc-4e25-91e6-54a11676bc10,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,19.00,619.00,680,SA:SD:PB,SA0:SD1:PB1
21220,7,AllDomains,9,NG,x72868,,21220,Unturpentined Secondary College,631734365,R100000203K,Newby,,Mildred,15,7,2,2009-10-05,2100,1201,2,2,1,8,1201,3,2,6,1201,1201,1,P,57fe5102-9362-4ee3-8612-09f627836b25,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,33.00,578.12,620,A:D:E,A1:D0:E1,P,8acd2481-c544-4f76-8adb-94d9639cbc91,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,36.00,559.38,713,NC:B:C:F,NC1:B0:C0:F0,P,fd41e65a-f41c-4dd5-944e-c91f9eacebb4,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,1.00,625.00,660,,,P,2797785f-6373-47f3-95c7-937538adb757,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,24.00,619.00,695,GE,E1,A,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,638,,
21217,5,AllDomains,9,NG,x72865,,21217,Phyllostoma Combined College,755299767,R100000135S,Winningham,,Jacquelin,15,5,2,2009-11-02,1101,1201,3,4,3,7,1201,3,1,6,1201,1201,1,P,27b4ebdd-982d-48dc-a10a-c653bb2b2195,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,32.00,531.67,528,A:B:E,A0:B1:E1,R,d91b8135-1c4c-4b3e-9df8-feead4c5dc09,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0.0,0.0,606,A:B:C,A0:B1:C0,P,b18dbfed-ebd8-42ca-94e5-557dfb5c86cf,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,1.00,575.00,519,,,P,dd84ba61-5661-47f9-a578-fae0f484b8bf,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,20.00,545.00,519,GE,E1,P,8279aa58-3452-4e68-b20b-df60579fa6f3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,17.00,527.00,518,SA:SB:PB,SA1:SB0:PB0
21215,3,AllDomains,9,NG,x72863,,21215,Isovalerate Combined College,674310219,R100000096E,Lachance,,Britney,15,3,2,2009-10-05,1101,1201,3,1,4,6,1201,3,2,6,1201,1201,1,P,3c07d709-2559-4799-b0df-ee9733ce2415,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,34.00,445.77,424,A:B:E,A1:B1:E0,P,7e1dbd37-a0c5-4c04-b288-c65125e00143,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,28.00,422.69,410,CA:B:F,CA0:B1:F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,b0e67291-278f-46d5-bbd0-cd67696ff879,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,5,17.00,417.00,515,GE,E1,P,acd88b47-2052-4e8f-9fc3-632a66c840ab,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,21.00,441.00,498,SA:SB:PB,SA1:SB1:PB1
21215,9,AllDomains,9,NG,x72863,,21215,Isovalerate Combined College,396082924,R100000081K,Dearing,,Tessie,15,9,2,2009-11-04,1101,1201,4,2,2,7,1201,1,3,6,5203,1201,2,P,797dc236-aa31-4351-b73a-827e17576dff,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,31.00,601.88,649,A:D:F,A2:D1:F0,P,8cafcf51-4fd4-4030-bcb7-c2ea55f818eb,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,45.00,610.47,596,CA:B:C:F,CA0:B0:C0:F0,P,b97fce21-bd82-449d-b20c-123c79c2b993,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,0.00,505.00,723,,,P,2ffade20-f120-493b-917c-bf8cb4ee1421,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,9,20.00,625.00,745,GF,F0,P,e6662e2c-4034-4bd0-b903-0e93b6630eaa,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,8,18.00,613.00,618,SA:SB:PD,SA1:SB1:PD1
21221,9,AllDomains,9,NG,x72869,,21221,Wishram Combined College,203867073,R100000233H,Allen,,Simone,15,9,2,2009-03-21,1101,1201,3,4,4,7,1201,1,4,8,1201,1201,1,P,89ec5db3-dde0-492a-88ee-07ade4051b9b,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,31.00,601.88,708,A:D:E,A0:D0:E1,P,5c748e0e-c628-48cc-814e-fd2b02d39226,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,43.00,605.78,775,NC:B:C:F,NC0:B0:C0:F0,P,e44ce300-bca2-482b-a64a-989130199fc1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,10,1.00,655.00,710,,,P,53350ccd-2ce3-4336-8a06-a688d1f29e89,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,17.00,607.00,634,GE,E1,P,7419351b-5e66-45b9-8c6c-77fc5e1fdb13,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8,15.00,595.00,680,SA:SD:PD,SA0:SD0:PD1
