REF_ID,ID,STUDENT_ID,CLASS,YEAR_LEVEL,FIRST_NAME,LAST_NAME,DATE_OF_BIRTH,INDIGENOUS_STATUS,OTHER_LANGUAGE,SEX,ASL_ID,M_OCCUPATION,M_NON_SCHOOL_EDU,M_SCHOOL_EDU,F_OCCUPATION,F_NON_SCHOOL_EDU,F_SCHOOL_EDU,VISA,PLATFORM_STUDENT_IDENTIFIER,M_LANGUAGE,F_LANGUAGE,FFPOS
00e236ab-ad2a-4721-a2ee-11cd0dbad5f6,491169629,18356,9D,9,Evelyn,Lamb,2009-08-08,4,1201,2,21221,3,7,4,4,8,2,,R100000235R,1201,1201,2
01abe4b1-9c61-4245-b88f-44c95e527ed5,853010112,60771,5A,5,Georgia,Allen,2009-05-17,2,1201,2,21215,3,5,1,2,5,4,,R100000098S,1201,1201,2
04ce3f0a-b362-4628-b456-18d4b26f303c,819020519,36591,5B,5,Janet,Williams,2009-03-23,4,5203,2,21213,2,5,4,4,5,4,,R100000042R,1201,9601,1
0748579b-2421-420b-89fd-b81f7d3c5d2d,675659121,32874,3A,3,Joanna,Alvarado,2009-06-11,1,1201,2,21214,1,6,2,4,8,4,,R100000053G,2201,1201,2
08a183fb-f6f8-4313-a1b4-febee590bc9a,556791652,54919,9C,9,Laurene,Pavone,2009-03-07,3,1201,2,21221,3,5,2,1,5,4,,R100000228H,1201,1201,2
08be0e9f-1714-43db-93b8-4e7ee6107d1a,631734365,55504,7F,7,Mildred,Newby,2009-10-05,2,1201,2,21220,2,8,1,3,6,2,,R100000203K,1201,1201,1
096787a7-d6c2-4a23-a3d3-4431175e7dd1,755299767,22309,5B,5,Jacquelin,Winningham,2009-11-02,3,1201,2,21217,4,7,3,3,6,1,,R100000135S,1201,1201,1
098479df-b981-4a03-9aef-baf61bb158f6,674310219,31292,3A,3,Britney,Lachance,2009-10-05,3,1201,2,21215,1,6,4,3,6,2,,R100000096E,1201,1201,1
0a44b716-4037-44d8-819f-678f7e9ab811,396082924,77746,9D,9,Tessie,Dearing,2009-11-04,4,1201,2,21215,2,7,2,1,6,3,,R100000081K,1201,5203,2
0a567027-56bf-4029-9a10-bed1d1ce05d7,203867073,44051,9C,9,Simone,Allen,2009-03-21,3,1201,2,21221,4,7,4,1,8,4,,R100000233H,1201,1201,1
0ab9ef4b-e421-41c6-a6c2-92b4ecda1fcd,885381996,76631,9F,9,Jeanette,Costello,2009-05-19,4,1201,2,21215,4,8,3,3,7,1,,R100000088P,1201,1201,1
0b410b86-fe58-44c0-bbe7-3fe256ac0a9a,271624309,26221,5F,5,Teodoro,Upham,2009-06-13,4,1201,1,21221,3,6,2,4,6,3,,R100000231M,1201,1201,1
0c308e94-8c06-44bb-947d-d9aaba555237,634017946,28759,9C,9,Agustin,Long,2009-10-27,1,1201,1,21220,1,6,2,1,6,2,,R100000222K,7100,1201,2
0da407a9-7dc2-493a-a6d6-baf4c928dc7e,680948416,86216,5B,5,Valentina,Soto,2009-08-06,4,1201,2,21214,3,5,1,1,8,2,,R100000051A,1201,1201,1
0ee65949-28fa-46b0-bdd1-a20ce39dda68,396107093,63218,3E,3,June,Woodside,2009-09-10,2,7100,2,21212,4,8,2,3,6,3,,R100000021D,1201,1201,2
0f7ae9a6-4126-4a02-a6b7-a2ac671931a8,900848255,99300,9A,9,Jeffrey,Odum,2009-04-04,2,1201,1,21221,2,6,3,4,8,3,,R100000226M,2201,1201,2
0fa9119d-fa06-4803-8083-fa09d562a31e,266211914,47789,5A,5,Herbert,Wood,2009-08-14,2,1201,1,21217,2,6,3,2,8,2,,R100000128G,1201,9601,2
12271ad7-ba27-429d-bc7e-a4000d5bdbb8,574013097,4269,9D,9,Guillermina,Bean,2009-02-15,3,1201,2,21218,3,7,4,4,5,2,,R100000166G,1201,2201,1
124d00d0-7003-4ad0-abfe-5e1c89420b5a,439970865,33203,3D,3,Trevor,Duncan,2009-11-08,3,1201,1,21215,4,7,1,3,7,1,,R100000086G,1201,9601,1
141712cc-d278-4a47-8ee1-851cd9abb29b,802538749,89935,5C,5,Nakia,Cosby,2009-03-13,1,1201,2,21217,3,7,1,4,5,1,,R100000142K,1201,7100,1
14b62d37-bf02-4c4f-9bb3-87a525d784be,133061145,97059,9A,9,Chrystal,Pierce,2009-09-21,4,1201,2,21218,4,8,3,3,6,1,,R100000150A,1201,1201,2
1582ecfe-0f88-45da-b7b5-a8f0768d8190,335776714,36718,3D,3,Byron,Hall,2009-09-20,4,1201,1,21217,4,5,4,3,7,4,,R100000129H,1201,1201,1
1636ac6e-6fab-4c12-90f0-71ce8f85033a,888211114,91983,9B,9,Russell,Riley,2009-09-08,4,1201,1,21216,2,6,3,3,5,4,,R100000121S,9601,5203,1
169a3b3b-a792-431a-9137-d98f5d4d4a25,211703575,8319,7E,7,Columbus,May,2009-09-23,3,1201,1,21220,3,5,1,3,8,2,,R100000206A,1201,1201,1
18065a34-dc1f-4770-9ddd-c332b00445ee,425987780,72495,7C,7,Genevie,Carlton,2009-04-15,1,1201,2,21217,3,7,1,1,7,4,,R100000140S,1201,1201,2
1972aff7-906f-4d17-b83b-1ddd535f4490,619018444,62376,9D,9,Leslie,Smith,2009-02-23,3,1201,1,21219,1,8,4,1,5,2,,R100000193A,2201,1201,2
1c275133-507e-4126-9405-d25472848f43,627653130,97270,7E,7,Ernesto,Morgan,2009-08-27,3,1201,1,21220,3,8,1,3,5,2,,R100000207M,1201,1201,1
1c99724f-e184-4773-b1ec-0e82de2613f9,450912812,53893,7A,7,Peter,Fugate,2009-10-27,1,1201,1,21216,1,8,1,1,8,4,,R100000111P,1201,1201,2
1cac055b-ed62-441e-8fe5-b09665fc35b0,6933898,2987,7E,7,Willian,Jaramillo,2009-07-13,4,1201,1,21219,3,8,2,4,8,4,,R100000198R,1201,1201,2
1d829fb0-b10d-4d46-a103-01ce2bef2571,382707688,90646,5E,5,Aurora,Fulton,2009-08-04,2,7100,2,21213,1,5,2,4,7,1,,R100000035D,1201,1201,2
1f3b3db4-33ba-4a12-8931-f3c8c760b34b,990752961,20812,5B,5,Judi,Dansby,2009-12-25,3,1201,2,21212,4,5,2,1,6,1,,R100000018R,1201,7100,2
1fa35b2a-2b90-4f9a-af29-27a206cc834f,282643161,50221,3F,3,Audrey,Poch,2009-11-26,2,1201,2,21216,4,6,2,4,8,3,,R100000106P,5203,1201,1
1fdfd90c-fc94-4a10-bf3b-12078aae76bb,451351971,2132,5E,5,Anita,Ryans,2009-09-21,2,9601,2,21221,4,6,1,3,5,3,,R100000234P,1201,1201,1
20b5367c-5523-4c0b-ac66-1448fc9f35f3,383655377,47694,5D,5,Juana,Stout,2009-10-24,3,1201,2,21212,3,6,1,4,5,1,,R100000011H,1201,1201,1
2177c750-9d80-4a42-9e73-f2dfd40d253d,192512270,74449,5B,5,Christoper,Stokely,2009-06-18,2,1201,1,21216,2,8,4,3,8,2,,R100000115D,1201,1201,2
218fc8e1-2cf3-418e-9b4e-c9fc9f5c72aa,444721933,6150,7B,7,Barry,Manders,2009-07-06,1,1201,1,21219,3,7,1,1,7,4,,R100000185G,1201,1201,2
22682405-06c9-454a-b4a8-e636810f68f3,641342585,26125,7F,7,Lydia,Thompson,2009-05-10,1,7100,2,21217,1,8,4,1,7,3,,R100000146M,1201,1201,1
22ccee72-09b7-447e-9a14-b225a241020e,943780521,93938,9B,9,Barry,Lewis,2009-06-23,3,1201,1,21218,1,7,4,2,8,3,,R100000157E,1201,1201,1
22e1bc48-b1aa-42ce-8256-f0c2b7b14f27,434117401,64104,9F,9,Rory,Santoyo,2009-03-09,3,1201,1,21219,3,8,3,2,5,2,,R100000192P,1201,1201,2
23b16db9-2dba-4ca1-bafd-41bcb1665612,822404131,47525,5C,5,Stevie,Ussery,2009-12-21,2,1201,1,21215,3,7,2,4,6,1,,R100000080R,1201,1201,1
